transaction_id,card_id,company_id,transaction_date,amount,currency,merchant_name,category,transaction_type,status
TXN000001,CD0001,CO001,2023-05-09,209.22,AED,PwC,Professional Services,purchase,success
TXN000002,CD0001,CO001,2023-08-15,2351.82,AED,DEWA,Utilities,purchase,success
TXN000003,CD0001,CO001,2023-11-05,334.15,AED,Careem,Travel,purchase,success
TXN000004,CD0001,CO001,2024-01-07,1056.58,AED,Sharaf DG,Hardware,purchase,success
TXN000005,CD0001,CO001,2024-02-10,206.42,AED,IKEA,Office Supplies,purchase,success
TXN000006,CD0001,CO001,2024-03-01,226.8,AED,PwC,Professional Services,purchase,success
TXN000007,CD0001,CO001,2024-04-18,561.55,AED,Uber,Travel,purchase,success
TXN000008,CD0001,CO001,2024-04-26,606.81,AED,Marriott,Travel,purchase,failed
TXN000009,CD0001,CO001,2024-05-16,216.07,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000010,CD0001,CO001,2024-06-15,18.09,AED,Staples,Office Supplies,purchase,success
TXN000011,CD0002,CO001,2023-05-14,203.62,AED,McKinsey,Professional Services,purchase,success
TXN000012,CD0002,CO001,2023-06-02,520.06,AED,IKEA,Office Supplies,purchase,success
TXN000013,CD0002,CO001,2023-06-15,251.1,AED,Zomato,Meals & Entertainment,purchase,success
TXN000014,CD0002,CO001,2023-06-27,462.12,AED,Google Ads,Advertising,cash_withdrawal,success
TXN000015,CD0002,CO001,2023-07-08,2477.26,AED,COYA,Meals & Entertainment,cash_withdrawal,success
TXN000016,CD0002,CO001,2023-07-08,404.16,AED,Apple Store,Hardware,purchase,success
TXN000017,CD0002,CO001,2023-07-11,792.72,AED,Google Ads,Advertising,cash_withdrawal,success
TXN000018,CD0002,CO001,2023-07-21,34.58,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000019,CD0002,CO001,2023-07-22,408.27,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000020,CD0002,CO001,2023-08-06,396.69,AED,Dell,Hardware,purchase,failed
TXN000021,CD0002,CO001,2023-08-07,389.8,AED,Etisalat,Utilities,purchase,success
TXN000022,CD0002,CO001,2023-08-12,489.25,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000023,CD0002,CO001,2023-08-23,64.59,AED,Benya,Utilities,purchase,success
TXN000024,CD0002,CO001,2023-09-05,199.67,AED,Rotana Hotels,Travel,purchase,failed
TXN000025,CD0002,CO001,2023-09-17,96.38,AED,Dell,Hardware,purchase,success
TXN000026,CD0002,CO001,2023-10-03,214.48,AED,Meta Ads,Advertising,purchase,success
TXN000027,CD0002,CO001,2023-10-07,48.19,AED,HubSpot,SaaS Subscription,purchase,success
TXN000028,CD0002,CO001,2023-10-19,230.05,AED,Etisalat,Utilities,purchase,success
TXN000029,CD0002,CO001,2023-11-10,221.78,AED,McKinsey,Professional Services,purchase,success
TXN000030,CD0002,CO001,2023-12-04,62.78,AED,Lenovo,Hardware,refund,success
TXN000031,CD0002,CO001,2024-01-19,279.63,AED,McKinsey,Professional Services,purchase,success
